Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles,HowTo
15,Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,,,"Rectus Abdominis, Obliques","Kneel on the floor with the barbell in front of you. Grip the barbell with both hands, shoulder-width apart. Engage your core and slowly roll the barbell forward, extending your body while keeping your hips down. Roll out as far as you can while maintaining control, then pull the barbell back towards you to return to the starting position."
16,30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Strength,Abdominals,Barbell,Intermediate,,,"Obliques, Rectus Abdominis, Transverse Abdominis","1. Lie on your back with a barbell held in the locked-out position above your chest. 2. Engage your core and rotate your hips and legs to one side, lowering them towards the floor. 3. Return to the center and then rotate to the opposite side. 4. Repeat for the desired number of reps."
17,30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,,,"Rectus Abdominis, Obliques","1. Start in a kneeling position with a barbell in front of you. 2. Grip the barbell with both hands, shoulder-width apart. 3. Roll the barbell forward, extending your body while keeping your core tight. 4. Roll out as far as you can without losing form, then pull the barbell back towards you to return to the starting position. 5. Repeat for the desired number of reps."
18,Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,,,"Rectus Abdominis, Deep Core","1. Set up on a decline bench with a weight plate held against your chest. 2. Lie back and engage your core. 3. Perform a sit-up by curling your torso towards your knees, lifting your upper body off the bench. 4. Lower back down with control. 5. Repeat for the desired number of reps."
19,KV Barbell Hip Thrust,"The KV Barbell Hip Thrust is an effective exercise for targeting the glutes and hamstrings. To perform this exercise, sit on the ground with your upper back against a bench, roll a barbell over your hips, and thrust your hips upward while keeping your feet flat on the ground.",Strength,Abdominals,Barbell,Intermediate,,,"Glutes, Rectus Abdominis, Hamstrings","1. Sit on the ground with your upper back against a bench and your feet flat on the floor. 2. Roll a barbell over your hips. 3. Drive through your heels and thrust your hips upward, squeezing your glutes at the top. 4. Lower your hips back down to the ground. 5. Repeat for the desired number of reps."
20,Advanced Kettlebell Windmill,"The Advanced Kettlebell Windmill is a complex movement that enhances core stability and shoulder mobility. Begin by holding a kettlebell overhead with one arm, then hinge at the hips and lower your torso towards the ground while keeping your eyes on the kettlebell, and return to the starting position.",Strength,Abdominals,Kettlebells,Beginner,8.3,Average,"Obliques, Rectus Abdominis",1. Stand with your feet shoulder-width apart and hold a kettlebell overhead with one arm. 2. Hinge at your hips and lower your torso towards the ground while keeping your eyes on the kettlebell. 3. Return to the starting position by engaging your core and driving through your legs. 4. Repeat for the desired number of reps.
21,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Strength,Abdominals,Kettlebells,Intermediate,7.7,Average,"Obliques, Rectus Abdominis, Shoulders",1. Stand with your feet shoulder-width apart and hold a kettlebell in one hand. 2. Hinge at your hips and lower your torso towards the ground while keeping the kettlebell close to your body. 3. Rotate your torso and reach down to touch the kettlebell with your free hand. 4. Return to the starting position and repeat for the desired number of reps.
22,Kettlebell Pass Between The Legs,"The Kettlebell Pass Between The Legs is a dynamic exercise that improves grip strength and coordination. Stand with your feet shoulder-width apart, swing the kettlebell between your legs, and then pass it to the opposite hand while maintaining a strong core and proper posture.",Strength,Abdominals,Kettlebells,Beginner,7.3,Average,"Obliques, Rectus Abdominis","1. Stand with your feet shoulder-width apart, holding a kettlebell in one hand. 2. Swing the kettlebell between your legs, keeping your back straight and core engaged. 3. As the kettlebell swings forward, pass it to your opposite hand. 4. Continue swinging and passing the kettlebell between your legs for the desired number of reps."
23,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Strength,Abdominals,Kettlebells,Intermediate,0.0,,"Obliques, Rectus Abdominis",1. Start by lying on your back with a kettlebell placed between your legs. 2. Engage your core and lift your legs to bring the kettlebell towards your torso. 3. Extend your legs out to the side while keeping your core tight. 4. Return to the starting position and repeat for the desired number of reps.
24,Double Kettlebell Swing,"The Double Kettlebell Swing is a dynamic exercise that targets the posterior chain, including the glutes, hamstrings, and lower back. It involves swinging two kettlebells simultaneously from between the legs to shoulder height, emphasizing hip hinge and explosive power.",Strength,Abdominals,Kettlebells,Intermediate,,,"Hamstrings, Glutes, Core","Stand with feet shoulder-width apart, holding a kettlebell in each hand. Hinge at the hips and lower the kettlebells between your legs. Engage your core and explosively drive your hips forward to swing the kettlebells up to shoulder height. Keep your arms straight and allow the kettlebells to swing back down between your legs as you hinge again."
25,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Conditioning,Abdominals,Kettlebells,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Core","Start in a standing position with a kettlebell on the ground in front of you. Perform a burpee by squatting down, placing your hands on the ground, and jumping your feet back into a plank position. Perform a push-up if desired, then jump your feet back towards your hands. Stand up and jump over the kettlebell, landing softly on the other side."
26,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,,,"Abdominals, Obliques","Lie on your back with a kettlebell in one hand. Lift your legs straight up towards the ceiling. Engage your core and reach the kettlebell towards your toes, lifting your shoulders off the ground. Lower back down and repeat for the desired number of repetitions, switching sides if needed."
27,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Conditioning,Abdominals,Kettlebells,Intermediate,,,"Hamstrings, Glutes, Back, Core","Stand with your feet shoulder-width apart, holding a kettlebell with both hands in front of you. Hinge at the hips and lower the kettlebell between your legs. Engage your core and explosively thrust your hips forward to swing the kettlebell up to shoulder height, keeping your arms straight. Allow the kettlebell to swing back down between your legs and repeat."
28,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Conditioning,Abdominals,Kettlebells,Intermediate,,,"Hamstrings, Glutes, Core, Upper Back, Shoulders","Start with a kettlebell in both hands at chest height. Perform a Russian swing by hinging at the hips and swinging the kettlebell to chest height. Then, transition to an American swing by swinging the kettlebell overhead. Alternate between these two swings for the desired number of repetitions or time."
29,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,,,"Back, Shoulders, Glutes, Core","Begin in a modified single-arm bridge position with one arm on the ground and the opposite arm holding a kettlebell overhead. Press the kettlebell up while maintaining stability in your hips and core. Lower the kettlebell back down and repeat, ensuring to engage your back, shoulders, and glutes throughout the movement."
30,Taylor Single-Arm Kettlebell Swing,The Taylor Single-Arm Kettlebell Swing is a variation of the traditional kettlebell swing that focuses on unilateral strength and stability. It involves swinging a single kettlebell with one arm while maintaining core engagement and proper hip movement.,Strength,Abdominals,Kettlebells,Intermediate,,,"Hamstrings, Glutes, Core","Stand with your feet shoulder-width apart, holding a kettlebell in one hand. Hinge at the hips and lower the kettlebell between your legs. Engage your core and swing the kettlebell up to shoulder height using one arm. Keep your movements controlled and focus on maintaining balance and stability throughout the swing."
31,Holman Kettlebell Up to Elbow Down,The Holman Kettlebell Up to Elbow Down is an exercise that combines a kettlebell swing with a controlled lowering phase. It emphasizes shoulder stability and core strength as the kettlebell is brought up to the elbow and then lowered back down.,Strength,Abdominals,Kettlebells,Intermediate,,,"Core, Shoulders","Start in a standing position with a kettlebell in one hand. Perform a kettlebell swing, bringing the kettlebell up to shoulder height. As you lower the kettlebell, control the descent and bring it down to your elbow while maintaining a stable core. Repeat the swing and controlled lowering for the desired number of repetitions."
32,FYR2 Double-Kettlebell Ski,"The FYR2 Double-Kettlebell Ski is a dynamic exercise that combines the benefits of kettlebell training with a skiing motion, engaging the legs, core, and shoulders for a full-body workout.",Strength,Abdominals,Kettlebells,Intermediate,,,"Hamstrings, Glutes, Core","1. Start by standing with your feet shoulder-width apart, holding a kettlebell in each hand. 2. Engage your core and hinge at the hips, lowering your body into a ski position. 3. As you lower, keep your back straight and your chest up. 4. Push through your heels to return to standing, mimicking a skiing motion. 5. Repeat for the desired number of repetitions."
33,FYR2 Kettlebell Hike,"The FYR2 Kettlebell Hike is an explosive movement that mimics the hiking motion, focusing on the posterior chain, grip strength, and overall power development.",Strength,Abdominals,Kettlebells,Intermediate,,,"Hamstrings, Glutes, Core","1. Begin standing with your feet shoulder-width apart, holding a kettlebell in one hand. 2. Hike the kettlebell back between your legs, keeping your back flat. 3. Explode upward, swinging the kettlebell forward and up. 4. Catch the kettlebell at shoulder height, engaging your core. 5. Repeat for the desired number of repetitions, alternating hands if desired."
34,FYR2 Kettlebell Cross-Body Catch,"The FYR2 Kettlebell Cross-Body Catch is a coordination and agility exercise that involves catching a kettlebell across the body, enhancing hand-eye coordination and core stability.",Strength,Abdominals,Kettlebells,Intermediate,,,"Core, Shoulders","1. Start in a standing position, holding a kettlebell in one hand. 2. Swing the kettlebell across your body to the opposite side. 3. As the kettlebell approaches, prepare to catch it with the opposite hand. 4. Focus on timing and coordination as you catch the kettlebell. 5. Repeat for the desired number of repetitions, alternating sides."
35,FYR2 Kettlebell Duck Walk,"The FYR2 Kettlebell Duck Walk is a unique lower body exercise that combines squatting and walking, targeting the quads, glutes, and improving mobility.",Strength,Abdominals,Kettlebells,Intermediate,,,"Legs, Core","1. Hold a kettlebell in each hand and squat down into a low position. 2. Keep your back straight and your chest up as you walk forward in this squatted position. 3. Take small, controlled steps while maintaining the squat. 4. Walk for a set distance or number of steps. 5. Stand up to finish the exercise."
36,FYR2 Kettlebell Get-Up Reach,"The FYR2 Kettlebell Get-Up Reach is a progression of the Turkish get-up, focusing on stability and strength as you transition from lying down to standing while reaching overhead.",Strength,Abdominals,Kettlebells,Intermediate,,,Abdominals,"1. Lie on your back with a kettlebell in one hand, arm extended overhead. 2. Bend the knee on the same side and place your foot flat on the ground. 3. Use your free hand to push yourself up onto your elbow, then your hand. 4. Lift your hips off the ground and transition to a kneeling position. 5. Stand up while keeping the kettlebell overhead. 6. Reverse the movement to return to the starting position."
37,FYR2 Kettlebell Juggle,"The FYR2 Kettlebell Juggle is a fun and challenging exercise that involves tossing and catching kettlebells, improving coordination, timing, and grip strength.",Strength,Abdominals,Kettlebells,Intermediate,,,Abdominals,"1. Start by holding a kettlebell in one hand at shoulder height. 2. Toss the kettlebell slightly into the air, using a light upward motion. 3. As the kettlebell rises, prepare to catch it with the same hand or switch hands. 4. Focus on timing and hand-eye coordination as you catch the kettlebell. 5. Repeat for the desired number of repetitions."
38,FYR2 Squat-Clean-Alternating-Press Complex,"The FYR2 Squat-Clean-Alternating-Press Complex is a comprehensive strength and conditioning drill that combines squats, cleans, and presses for a full-body workout.",Strength,Abdominals,Kettlebells,Intermediate,,,"Abdominals, Shoulders, Legs","1. Begin standing with your feet shoulder-width apart, holding a kettlebell in each hand. 2. Perform a squat, lowering your body while keeping the kettlebells at your sides. 3. As you rise from the squat, clean the kettlebells to shoulder height. 4. Press the kettlebells overhead, alternating arms with each repetition. 5. Repeat the sequence for the desired number of repetitions."
39,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Conditioning,Abdominals,Dumbbell,Intermediate,9.3,Average,"Abdominals, Shoulders","1. Sit on the floor with your legs in a V position, holding a dumbbell in each hand. 2. Engage your core and lean back slightly. 3. Rotate your torso to one side and jab the dumbbell across your body. 4. Return to the center and repeat on the other side. 5. Continue alternating sides for the desired number of repetitions."
40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,9.3,Average,"Abdominals, Obliques, Shoulders, Back, Hips, Legs","Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Engage your core and lean to one side, lowering the dumbbell towards your knee. Return to the starting position and repeat on the other side. Perform 8-12 reps per side."
41,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Intermediate,8.6,Average,"Obliques, Abdominals","Stand with your feet shoulder-width apart, holding a dumbbell in one hand. Slowly bend to the side, bringing the dumbbell down towards your knee. Return to the starting position and repeat for 8-12 reps before switching sides."
42,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,,Abdominals,"Lie on your back with your knees bent and hold a dumbbell against your chest. Engage your core and lift your shoulders off the ground, crunching towards your knees. Lower back down and repeat for 8-12 reps."
43,Dumbbell Fix Dumbbell Sprawl,"The Dumbbell Fix Dumbbell Sprawl is a dynamic exercise that combines a sprawl with a dumbbell movement, targeting the core, shoulders, and legs. Start in a standing position, drop into a sprawl while holding a dumbbell, then return to standing and press the dumbbell overhead.",Strength,Abdominals,Dumbbell,Intermediate,,,Abdominals,"Start in a standing position holding a dumbbell in both hands. Drop into a sprawl by lowering your body to the ground, then push back up to standing while pressing the dumbbell overhead. Repeat for 8-12 reps."
44,Dumbbell Fix Alternating Renegade Row,"The Dumbbell Fix Alternating Renegade Row is a strength exercise that engages the back, arms, and core. Begin in a plank position with a dumbbell in each hand. Row one dumbbell towards your hip while stabilizing your body with the other arm, then alternate sides.",Strength,Abdominals,Dumbbell,Intermediate,,,"Abdominals, Back, Shoulders","Begin in a plank position with a dumbbell in each hand. Row one dumbbell towards your hip while keeping your body stable, then lower it back down. Alternate sides for 8-12 reps per side."
45,Dumbbell Fix Dumbbell Mountain Climber,"The Dumbbell Fix Dumbbell Mountain Climber is a high-intensity exercise that works the core, shoulders, and legs. Start in a plank position with a dumbbell in each hand. Quickly alternate bringing your knees towards your chest while maintaining a strong plank.",Strength,Abdominals,Dumbbell,Intermediate,,,"Abdominals, Hip Flexors",Start in a plank position with a dumbbell in each hand. Quickly alternate bringing your knees towards your chest while maintaining a strong plank position. Continue for 30 seconds to 1 minute.
46,Dumbbell Fix Dumbbell Russian Twist,"The Dumbbell Fix Dumbbell Russian Twist is an effective core exercise that targets the obliques. Sit on the floor with your knees bent, lean back slightly, and hold a dumbbell with both hands. Rotate your torso to one side, then the other, while keeping your core engaged.",Strength,Abdominals,Dumbbell,Intermediate,,,"Abdominals, Obliques","Sit on the floor with your knees bent and hold a dumbbell with both hands. Lean back slightly and rotate your torso to the right, bringing the dumbbell beside your hip. Return to the center and rotate to the left. Repeat for 8-12 reps per side."
47,Dumbbell Fix Dumbbell Pull-Over,"The Dumbbell Fix Dumbbell Pull-Over is a compound exercise that works the chest, back, and triceps. Lie on a bench with a dumbbell held above your chest. Slowly lower the dumbbell back over your head, then pull it back to the starting position.",Strength,Abdominals,Dumbbell,Intermediate,,,"Abdominals, Lats","Lie on a bench with a dumbbell held above your chest. Slowly lower the dumbbell back over your head in a controlled manner, then pull it back to the starting position above your chest. Repeat for 8-12 reps."
48,Dumbbell Fix Dumbbell Sit-Up,"The Dumbbell Fix Dumbbell Sit-Up is an effective core exercise that targets the abdominal muscles. To perform this exercise, lie on your back with your knees bent and hold a dumbbell against your chest. Engage your core and lift your upper body towards your knees, then lower back down with control.",Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques","Lie on your back with your knees bent and hold a dumbbell against your chest. Engage your core and lift your upper body towards your knees, then lower back down with control."
49,Dumbbell Fix Dumbbell Front Squat,"The Dumbbell Fix Dumbbell Front Squat is a lower body exercise that emphasizes the quadriceps, glutes, and core stability. To execute this movement, hold a dumbbell in each hand at shoulder height with your elbows pointing forward. Squat down by bending your knees and hips while keeping your chest up, then push through your heels to return to standing.",Strength,Abdominals,Dumbbell,Intermediate,,,"Quadriceps, Glutes, Hamstrings, Core","Hold a dumbbell in each hand at shoulder height with your elbows pointing forward. Squat down by bending your knees and hips while keeping your chest up, then push through your heels to return to standing."
50,Dumbbell Fix Full Man Maker,"The Dumbbell Fix Full Man Maker is a full-body workout that combines a push-up, a row, and a squat with a press. Start in a plank position with a dumbbell in each hand. Perform a push-up, then row one dumbbell to your side, followed by the other. Jump your feet forward to a squat position and press the dumbbells overhead as you stand up.",Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques, Shoulders, Chest, Triceps","Start in a plank position with a dumbbell in each hand. Perform a push-up, then row one dumbbell to your side, followed by the other. Jump your feet forward to a squat position and press the dumbbells overhead as you stand up."
51,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Intermediate,,,"Obliques, Shoulders, Upper Back, Core",Hold a dumbbell in the air while in a side plank position. You can perform this exercise for timed holds or dynamically for reps with dumbbell rotation.
52,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Shoulders, Triceps","Lie on your back with your knees bent and feet flat on the floor. Hold a dumbbell in each hand, arms extended above your chest. Engage your core and press the dumbbells upward while maintaining a hollow-body position."
53,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,,,"Quadriceps, Glutes, Biceps, Shoulders, Triceps, Core","Start by holding a dumbbell in each hand. Perform a squat, then as you rise, curl the dumbbells to your shoulders. Finally, press the dumbbells overhead to complete the movement."
