Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles,HowTo
15,Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Advanced,,,"rectus abdominis, obliques, deep core","1. Start in a kneeling position with the barbell in front of you. 2. Grip the barbell with both hands and roll it forward while keeping your core tight. 3. Roll the barbell out until your body is extended, then pull it back to the starting position."
16,30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Strength,Abdominals,Barbell,Intermediate,,,"obliques, rectus abdominis, deep core",1. Lie on your back with a barbell held above you in the locked-out position. 2. Rotate your hips and legs side to side while keeping the barbell stable above you. 3. Return to the center and repeat.
17,30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Advanced,,,"rectus abdominis, obliques, deep core","1. Start in a kneeling position with the barbell in front of you. 2. Grip the barbell with both hands and roll it forward while keeping your core tight. 3. Roll the barbell out until your body is extended, then pull it back to the starting position."
18,Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,,,"rectus abdominis, deep core",1. Lie on a decline bench with your feet secured. 2. Hold a weight plate against your chest and perform a sit-up by curling your torso up towards your knees. 3. Lower back down and repeat for the desired number of reps.
19,KV Barbell Hip Thrust,The KV Barbell Hip Thrust is an exercise that primarily targets the glutes and hamstrings. It is performed by thrusting the hips upward while resting the upper back on a bench.,Strength,Abdominals,Barbell,Intermediate,,,"gluteus maximus, hamstrings, quadriceps",1. Sit on the ground with your upper back against a bench and a barbell over your hips. 2. Roll the barbell over your hips and secure it with your hands. 3. Drive through your heels and thrust your hips upward until your body is in a straight line from shoulders to knees. 4. Lower back down and repeat.
20,Advanced Kettlebell Windmill,"The Advanced Kettlebell Windmill is a challenging exercise that enhances core stability and improves shoulder and hip mobility. It requires balance and control, making it suitable for those looking to advance their kettlebell skills.",Mobility,Full Body,Kettlebells,Advanced,8.3,Average,"Core, Shoulders, Hips","1. Stand with your feet shoulder-width apart, holding a kettlebell in one hand overhead. 2. Rotate your torso and hinge at the hips, lowering your free hand towards the ground while keeping your eyes on the kettlebell. 3. Return to the starting position and repeat for reps before switching sides."
21,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Mobility,Full Body,Kettlebells,Average,7.7,Average,"Core, Shoulders, Hips","1. Stand with your feet shoulder-width apart, holding a kettlebell in one hand overhead. 2. Rotate your torso and hinge at the hips, lowering your free hand towards the ground while keeping your eyes on the kettlebell. 3. Return to the starting position and repeat for reps before switching sides."
22,Kettlebell Pass Between The Legs,The Kettlebell Pass Between The Legs is a dynamic exercise that targets the lower body and core. It enhances coordination and stability while engaging multiple muscle groups.,Strength,Legs,Kettlebells,Intermediate,7.3,Average,"Hamstrings, Glutes, Core","1. Stand with your feet shoulder-width apart and hold a kettlebell with both hands. 2. Bend at the hips and knees, passing the kettlebell between your legs. 3. Stand up straight while bringing the kettlebell back up to the starting position. 4. Repeat for desired reps."
23,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Strength,Abdominals,Kettlebells,Average,0.0,,"Obliques, Rectus Abdominis","1. Lie on your back with a kettlebell positioned near your feet. 2. Lift your legs and upper body simultaneously, reaching for the kettlebell while engaging your core. 3. Lower back down and repeat for desired reps."
24,Double Kettlebell Swing,The Double Kettlebell Swing is an explosive exercise that targets the posterior chain and builds overall strength. It requires coordination and power to perform effectively.,Strength,Legs,Kettlebells,Intermediate,,,"Glutes, Hamstrings, Core","1. Stand with your feet shoulder-width apart, holding a kettlebell in each hand. 2. Hinge at the hips and swing the kettlebells back between your legs. 3. Drive your hips forward, swinging the kettlebells up to shoulder height. 4. Repeat for desired reps."
25,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Cardio,Full Body,Kettlebells,Advanced,,,"legs, core, shoulders",1. Start in a standing position. 2. Drop into a squat and place your hands on the ground. 3. Jump your feet back into a plank position. 4. Perform a push-up. 5. Jump your feet back towards your hands. 6. Jump over the kettlebell and land softly.
26,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,,,"abdominals, hip flexors",1. Lie on your back with your legs extended and hold a kettlebell above your chest. 2. Engage your core and lift your upper body while reaching for your toes with the kettlebell. 3. Lower back down and repeat for the desired number of reps.
27,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Power,Legs,Kettlebells,Average,,,"hamstrings, glutes, back","1. Stand with your feet shoulder-width apart, holding a kettlebell with both hands. 2. Hinge at your hips and swing the kettlebell back between your legs. 3. Drive through your heels and thrust your hips forward to swing the kettlebell to shoulder height. 4. Let the kettlebell swing back down and repeat."
28,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Cardio,Full Body,Kettlebells,Intermediate,,,"hamstrings, glutes, core, shoulders, upper back","1. Start with the kettlebell at chest height. 2. Perform a chest-height swing, then transition to an overhead swing. 3. Alternate between the two swings for the desired duration or number of reps."
29,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Full Body,Kettlebells,Advanced,,,"back, shoulders, glutes, core","1. Lie on your back with your knees bent and feet flat on the ground. 2. Press a kettlebell overhead with one arm while lifting your hips into a bridge position. 3. Hold the position briefly, then lower your hips and the kettlebell back down. 4. Repeat on the other side."
30,Taylor Single-Arm Kettlebell Swing,The Taylor Single-Arm Kettlebell Swing is a dynamic exercise that targets multiple muscle groups while improving grip strength and coordination. It emphasizes the posterior chain and core stability.,Strength,Full Body,Kettlebells,Intermediate,,,"Glutes, Hamstrings, Core, Shoulders","1. Stand with your feet shoulder-width apart, holding a kettlebell in one hand. 2. Hinge at your hips and swing the kettlebell between your legs. 3. Drive through your hips to swing the kettlebell up to shoulder height, keeping your arm straight. 4. Allow the kettlebell to swing back down and repeat."
31,Holman Kettlebell Up to Elbow Down,"The Holman Kettlebell Up to Elbow Down is an exercise that focuses on the upper body, particularly the arms and shoulders. It helps in building strength and stability in the shoulder joint.",Strength,Arms,Kettlebells,Average,,,"Biceps, Triceps, Shoulders",1. Start by holding a kettlebell in one hand at shoulder height. 2. Lower the kettlebell to elbow height while maintaining control. 3. Raise it back to shoulder height and repeat. 4. Switch arms after completing the set.
32,FYR2 Double-Kettlebell Ski,"The FYR2 Double-Kettlebell Ski is a high-intensity exercise that engages the entire body while improving cardiovascular fitness. It mimics the motion of skiing, providing a fun and effective workout.",Cardio,Full Body,Kettlebells,Advanced,,,"Legs, Core, Shoulders",1. Hold a kettlebell in each hand and stand with your feet hip-width apart. 2. Bend your knees slightly and hinge at your hips. 3. Swing both kettlebells back between your legs and then explosively swing them forward as you stand up. 4. Repeat in a rhythmic motion.
33,FYR2 Kettlebell Hike,The FYR2 Kettlebell Hike is a lower body exercise that strengthens the legs and glutes while enhancing hip mobility. It is great for developing explosive power.,Strength,Legs,Kettlebells,Intermediate,,,"Quads, Hamstrings, Glutes","1. Stand with your feet shoulder-width apart, holding a kettlebell with both hands. 2. Hinge at your hips and lower the kettlebell between your legs. 3. Drive through your heels to stand up and swing the kettlebell forward. 4. Repeat the motion while maintaining control."
34,FYR2 Kettlebell Cross-Body Catch,The FYR2 Kettlebell Cross-Body Catch is an exercise that enhances coordination and mobility while engaging multiple muscle groups. It is particularly effective for improving functional movement patterns.,Mobility,Full Body,Kettlebells,Average,,,"Core, Shoulders, Legs","1. Stand with your feet shoulder-width apart, holding a kettlebell in one hand. 2. Swing the kettlebell across your body to the opposite side. 3. Catch the kettlebell with the other hand as it swings back. 4. Repeat the motion, alternating hands."
35,FYR2 Kettlebell Duck Walk,The FYR2 Kettlebell Duck Walk is a dynamic exercise that targets the lower body while improving balance and coordination. It involves walking in a squat position while holding a kettlebell.,Strength,Legs,Kettlebells,Average,,,"Quadriceps, Hamstrings, Glutes, Calves","1. Start in a squat position with your feet shoulder-width apart. 2. Hold a kettlebell in front of you with both hands. 3. Keep your chest up and back straight as you walk forward in the squat position, taking small steps. 4. Continue walking for a set distance or time."
36,FYR2 Kettlebell Get-Up Reach,The FYR2 Kettlebell Get-Up Reach is a full-body exercise that enhances stability and strength. It combines a kettlebell get-up with an overhead reach to engage multiple muscle groups.,Strength,Full Body,Kettlebells,Intermediate,,,"Shoulders, Core, Legs","1. Lie on your back with a kettlebell in one hand, arm extended. 2. Roll to your side and push up onto your elbow. 3. Move to a seated position, then rise to standing while keeping the kettlebell overhead. 4. Reverse the movement to return to the starting position."
37,FYR2 Kettlebell Juggle,The FYR2 Kettlebell Juggle is a dynamic exercise that improves coordination and mobility. It involves juggling a kettlebell between hands while maintaining balance and control.,Mobility,Full Body,Kettlebells,Advanced,,,"Shoulders, Core, Legs","1. Stand with your feet shoulder-width apart, holding a kettlebell in one hand. 2. Swing the kettlebell up and catch it with the opposite hand. 3. Continue alternating hands in a controlled manner. 4. Focus on maintaining a stable core and good posture."
38,FYR2 Squat-Clean-Alternating-Press Complex,"The FYR2 Squat-Clean-Alternating-Press Complex is a compound exercise that builds strength and muscle mass. It combines a squat, clean, and press into one fluid movement.",Hypertrophy,Full Body,Kettlebells,Intermediate,,,"Legs, Shoulders, Core","1. Start with a kettlebell in each hand at your sides. 2. Perform a squat, lowering your body while keeping the kettlebells close. 3. As you rise, clean the kettlebells to shoulder height. 4. Press the kettlebells overhead, then lower them back to your sides and repeat."
39,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Cardio,Abdominals,Dumbbell,Average,9.3,Average,"Abdominals, Shoulders",1. Sit on the floor with your legs extended in a V position. 2. Hold a dumbbell in each hand and lean back slightly. 3. Alternate jabbing the dumbbells across your body while engaging your core. 4. Keep your movements controlled and maintain balance.
40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Intermediate,9.3,Average,"obliques, shoulders, back, hips, legs","1. Stand with a dumbbell in one hand, feet shoulder-width apart. 2. Slowly lean to the side, bringing the dumbbell down toward your knee, then return to the starting position."
41,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Beginner,8.6,Average,obliques,"1. Stand with a dumbbell in one hand, feet shoulder-width apart. 2. Bend sideways at the waist, lowering the dumbbell toward the floor, then return to the starting position."
42,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,,"rectus abdominis, obliques","1. Lie on your back with your knees bent and hold a dumbbell against your chest. 2. Crunch up by lifting your shoulders off the ground, then lower back down."
43,Dumbbell Fix Dumbbell Sprawl,The Dumbbell Sprawl is a dynamic exercise that combines a push-up with a jump. It engages multiple muscle groups for a full-body workout.,Strength,Full Body,Dumbbell,Advanced,,,"chest, shoulders, triceps, legs","1. Start in a standing position with a dumbbell in each hand. 2. Drop into a squat, place the dumbbells on the ground, and kick your feet back into a push-up position. 3. Perform a push-up, then jump your feet back toward your hands and stand up."
44,Dumbbell Fix Alternating Renegade Row,The Alternating Renegade Row is an effective exercise for building strength in the back and arms while engaging the core. It requires stability and coordination as you lift one dumbbell at a time.,Strength,Full Body,Dumbbell,Intermediate,,,"back, biceps, core","1. Start in a plank position with a dumbbell in each hand. 2. Row one dumbbell toward your hip while stabilizing your body with the other arm, then alternate sides."
45,Dumbbell Fix Dumbbell Mountain Climber,The Dumbbell Mountain Climber is a dynamic exercise that engages multiple muscle groups while improving cardiovascular endurance. It combines strength and cardio for a full-body workout.,Cardio,Full Body,Dumbbell,Average,,,"Core, Legs, Shoulders","1. Start in a plank position with your hands on dumbbells. 2. Drive one knee towards your chest while keeping the other leg extended. 3. Quickly switch legs, bringing the opposite knee towards your chest. 4. Continue alternating legs at a rapid pace."
46,Dumbbell Fix Dumbbell Russian Twist,"The Dumbbell Russian Twist is an effective exercise for targeting the core, particularly the obliques. It helps improve rotational strength and stability.",Strength,Abdominals,Dumbbell,Intermediate,,,"Obliques, Rectus Abdominis","1. Sit on the floor with your knees bent and feet flat. 2. Hold a dumbbell with both hands and lean back slightly. 3. Rotate your torso to one side, bringing the dumbbell beside your hip. 4. Return to the center and rotate to the other side. 5. Repeat for the desired number of repetitions."
47,Dumbbell Fix Dumbbell Pull-Over,The Dumbbell Pull-Over is a great exercise for expanding the rib cage and strengthening the upper body. It targets the chest and back muscles effectively.,Strength,Chest,Dumbbell,Average,,,"Pectorals, Triceps, Lats","1. Lie on a bench with your upper back supported and feet flat on the ground. 2. Hold a dumbbell with both hands above your chest, arms slightly bent. 3. Slowly lower the dumbbell behind your head while keeping your arms straight. 4. Pull the dumbbell back to the starting position using your chest and lats."
48,Dumbbell Fix Dumbbell Sit-Up,The Dumbbell Sit-Up is a classic exercise that targets the abdominal muscles. It helps build core strength and stability.,Strength,Abdominals,Dumbbell,Beginner,,,"Rectus Abdominis, Hip Flexors",1. Lie on your back with your knees bent and feet flat on the floor. 2. Hold a dumbbell against your chest or extend it above your head. 3. Engage your core and lift your torso towards your knees. 4. Lower back down with control and repeat.
49,Dumbbell Fix Dumbbell Front Squat,The Dumbbell Front Squat is a powerful lower body exercise that targets the legs and glutes. It also engages the core for stability.,Strength,Legs,Dumbbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes","1. Stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder height. 2. Lower your body into a squat by bending your knees and pushing your hips back. 3. Keep your chest up and back straight. 4. Return to the starting position by pushing through your heels."
50,Dumbbell Fix Full Man Maker,"The Dumbbell Fix Full Man Maker is a full-body exercise that combines multiple movements to build strength and endurance. It typically involves a combination of a push-up, a row, a squat, and a press.",Strength,Full Body,Dumbbell,Intermediate,,,"legs, arms, shoulders, core","1. Start in a standing position holding dumbbells. 2. Drop into a squat and place the dumbbells on the floor. 3. Kick your feet back into a push-up position. 4. Perform a push-up. 5. Row one dumbbell to your side, then the other. 6. Jump your feet back to the squat position. 7. Stand up and press the dumbbells overhead."
51,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Average,,,"obliques, shoulders, upper back","1. Lie on your side and stack your feet. 2. Place one hand on the ground for support and hold a dumbbell in the other hand. 3. Lift your hips off the ground into a side plank. 4. Extend the dumbbell above your shoulder, keeping your arm straight. 5. Hold this position for the desired time."
52,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Chest,Dumbbell,Intermediate,,,"chest, triceps, core",1. Lie on your back with your legs elevated and straight. 2. Hold dumbbells in each hand at chest level. 3. Press the dumbbells up until your arms are fully extended. 4. Lower the dumbbells back to your chest while maintaining the hollow-body position.
53,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Full Body,Dumbbell,Intermediate,,,"legs, glutes, biceps, shoulders, triceps","1. Stand with feet shoulder-width apart holding dumbbells. 2. Perform a squat while holding the dumbbells. 3. As you rise, curl the dumbbells to your shoulders. 4. Press the dumbbells overhead. 5. Lower the dumbbells back to your sides and repeat."
54,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Hypertrophy,Abdominals,Dumbbell,Average,,,"abdominals, obliques","1. Lie on your back with your knees bent and feet flat on the ground. 2. Hold a dumbbell against your chest with both hands. 3. Engage your core and lift your shoulders off the ground, crunching towards your knees. 4. Lower back down and repeat."
55,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Strength,Abdominals,Dumbbell,Intermediate,,,"rectus abdominis, obliques, deep core",1. Lie on your back with your knees bent and feet flat on the floor. 2. Hold a dumbbell in one hand and perform a crunch by lifting your shoulders off the ground while keeping the other arm extended to the side.
56,HM Alternating Dumbbell Plank Row,The HM Alternating Dumbbell Plank Row is an effective exercise that targets the back and core while improving stability.,Strength,Back,Dumbbell,Intermediate,,,"latissimus dorsi, rhomboids, biceps","1. Start in a plank position with a dumbbell in each hand. 2. Row one dumbbell towards your hip while stabilizing your body with the other arm, alternating sides."
57,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Abdominals,Dumbbell,Average,,,"gluteus maximus, hamstrings, core","1. Lie on your back with your legs straight and hold a dumbbell in your hands. 2. Lift your hips towards the ceiling while keeping your legs straight, squeezing your glutes at the top."
58,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Strength,Abdominals,Dumbbell,Beginner,,,"rectus abdominis, hip flexors","1. Sit on a bench with your feet off the ground and hold a dumbbell in both hands. 2. Tuck your knees towards your chest while leaning back slightly, then return to the starting position."
59,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Cardio,Abdominals,Dumbbell,Average,,,"rectus abdominis, obliques, deltoids",1. Sit on the floor with your legs in a V position and hold a dumbbell in both hands. 2. Rotate your torso to one side while extending your arms and then alternate to the other side in a controlled manner.
60,30 Hanging Leg Raise With Dumbbell,The Hanging Leg Raise is an effective exercise for strengthening the core and hip flexors. It involves hanging from a bar and raising your legs to engage the abdominal muscles.,Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Hip Flexors","1. Hang from a pull-up bar with your arms fully extended. 2. Keeping your legs straight, raise them towards your chest while engaging your core. 3. Lower your legs back to the starting position and repeat."
61,Dumbbell Get-Up Sit-Up,"The Dumbbell Get-Up Sit-Up combines a sit-up with a dumbbell for added resistance, targeting the core and improving overall strength. This exercise also enhances stability and coordination.",Strength,Abdominals,Dumbbell,Average,,,"Rectus Abdominis, Obliques","1. Lie on your back holding a dumbbell in one hand. 2. Perform a sit-up while keeping the dumbbell extended above your chest. 3. Return to the starting position and repeat, switching sides."
