Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles
10,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,8.5,Average,"Rectus Abdominis, Obliques, Shoulders, Upper Back"
11,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,8.3,Average,"Rectus Abdominis, Obliques, Transverse Abdominis"
12,Barbell Side Bend,"The Barbell Side Bend is an effective exercise for targeting the oblique muscles. It involves bending to the side while holding a barbell, which helps to strengthen the core and improve stability.",Strength,Abdominals,Barbell,Beginner,7.0,Average,"Obliques, Rectus Abdominis"
13,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,Barbell,Intermediate,4.7,Average,"Obliques, Rectus Abdominis"
14,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Power,Shoulders,Barbell,Intermediate,,,"Deltoids, Trapezius, Latissimus Dorsi, Biceps"
15,Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,,,"Rectus Abdominis, Obliques, Transverse Abdominis"
16,30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Strength,Abdominals,Barbell,Intermediate,,,"Obliques, Rectus Abdominis, Deep Core"
17,30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,,,"Rectus Abdominis, Obliques"
18,Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,,,"rectus abdominis, deep core muscles"
19,KV Barbell Hip Thrust,The KV Barbell Hip Thrust is an effective exercise for targeting the glutes and improving hip extension strength. It involves resting your upper back on a bench while thrusting your hips upward with a barbell across your hips.,Strength,Legs,Barbell,Intermediate,,,"Glutes, Hamstrings, Quadriceps"
20,Advanced Kettlebell Windmill,The Advanced Kettlebell Windmill is a challenging exercise that enhances stability and strength throughout the entire body. It primarily targets the shoulders and core while also engaging the legs for balance.,Strength,Full Body,Kettlebells,Beginner,8.3,Average,"Shoulders, Core, Legs"
21,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Mobility,Full Body,Kettlebells,Intermediate,7.7,Average,"Core, Shoulders, Hips"
22,Kettlebell Pass Between The Legs,The Kettlebell Pass Between The Legs is a dynamic exercise that engages multiple muscle groups. It involves passing a kettlebell between the legs while maintaining a strong core and proper posture.,Strength,Full Body,Kettlebells,Beginner,7.3,Average,"Hamstrings, Glutes, Core, Shoulders"
23,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Strength,Abdominals,Kettlebells,Intermediate,0.0,,"Obliques, Rectus Abdominis"
24,Double Kettlebell Swing,The Double Kettlebell Swing is a dynamic exercise that engages multiple muscle groups. It primarily targets the posterior chain while also providing a cardiovascular challenge.,Strength,Full Body,Kettlebells,Intermediate,,,"Glutes, Hamstrings, Quadriceps, Shoulders, Core"
25,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Cardio,Full Body,Kettlebells,Intermediate,,,"Legs, Arms, Core"
26,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,,,"Rectus Abdominis, Obliques"
27,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Power,Legs,Kettlebells,Intermediate,,,"Hamstrings, Glutes, Back"
28,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Cardio,Full Body,Kettlebells,Intermediate,,,"hamstrings, glutes, core, upper back, shoulders"
29,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Full Body,Kettlebells,Intermediate,,,"Back, Shoulders, Glutes, Core"
30,Taylor Single-Arm Kettlebell Swing,"The Taylor Single-Arm Kettlebell Swing is a dynamic exercise that targets multiple muscle groups, primarily focusing on the posterior chain. It involves swinging a kettlebell with one arm, promoting strength, power, and coordination.",Strength,Full Body,Kettlebells,Intermediate,,,"Glutes, Hamstrings, Core, Shoulders"
31,Holman Kettlebell Up to Elbow Down,"The Holman Kettlebell Up to Elbow Down is a strength exercise that targets the arms and shoulders. It involves lifting a kettlebell to the elbow level, engaging multiple muscle groups for improved strength and stability.",Strength,Arms,Kettlebells,Intermediate,,,"Biceps, Triceps, Shoulders"
32,FYR2 Double-Kettlebell Ski,The FYR2 Double-Kettlebell Ski is a full-body exercise that engages multiple muscle groups. It involves a dynamic movement pattern that enhances strength and coordination.,Strength,Full Body,Kettlebells,Intermediate,,,"Legs, Back, Shoulders, Arms"
33,FYR2 Kettlebell Hike,The FYR2 Kettlebell Hike is a dynamic exercise that engages multiple muscle groups. It primarily focuses on building strength and stability through the hips and core while incorporating the upper body.,Strength,Full Body,Kettlebells,Intermediate,,,"Glutes, Hamstrings, Core, Shoulders"
34,FYR2 Kettlebell Cross-Body Catch,"The FYR2 Kettlebell Cross-Body Catch is a dynamic exercise that enhances coordination and strength. It involves catching a kettlebell across the body, engaging multiple muscle groups for a full-body workout.",Strength,Full Body,Kettlebells,Intermediate,,,"Shoulders, Arms, Core, Legs"
35,FYR2 Kettlebell Duck Walk,"The Kettlebell Duck Walk is a dynamic exercise that targets the lower body muscles. It involves walking in a squat position while holding a kettlebell, which enhances strength and stability in the legs.",Strength,Legs,Kettlebells,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves"
36,FYR2 Kettlebell Get-Up Reach,"The FYR2 Kettlebell Get-Up Reach is a dynamic exercise that enhances mobility and stability throughout the entire body. It involves transitioning from a lying position to a standing position while reaching overhead, engaging multiple muscle groups.",Mobility,Full Body,Kettlebells,Intermediate,,,"Shoulders, Arms, Core, Legs"
37,FYR2 Kettlebell Juggle,"The FYR2 Kettlebell Juggle is a dynamic exercise that involves juggling a kettlebell to improve coordination and mobility. It engages multiple muscle groups, making it an effective full-body workout.",Mobility,Full Body,Kettlebells,Intermediate,,,"Shoulders, Arms, Core, Legs"
38,FYR2 Squat-Clean-Alternating-Press Complex,"The FYR2 Squat-Clean-Alternating-Press Complex is a dynamic exercise that combines a squat, clean, and press in a fluid motion. It targets multiple muscle groups, enhancing strength and coordination.",Strength,Full Body,Kettlebells,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Shoulders, Core"
39,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Cardio,Abdominals,Dumbbell,Intermediate,9.3,Average,"Abdominals, Shoulders"
40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Mobility,Abdominals,Dumbbell,Beginner,9.3,Average,"Obliques, Shoulders, Back, Hips, Legs"
41,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Intermediate,8.6,Average,"Obliques, Rectus Abdominis"
42,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques"
43,Dumbbell Fix Dumbbell Sprawl,"The Dumbbell Fix Dumbbell Sprawl is a dynamic exercise that combines strength and agility. It targets multiple muscle groups, including the legs, arms, and core, making it an effective full-body workout.",Strength,Full Body,Dumbbell,Intermediate,,,"Legs, Arms, Shoulders, Core"
44,Dumbbell Fix Alternating Renegade Row,"The Dumbbell Fix Alternating Renegade Row is a strength exercise that targets the upper back and core. It involves a plank position while rowing a dumbbell alternately, engaging multiple muscle groups for stability and strength.",Strength,Back,Dumbbell,Intermediate,,,"Lats, Rhomboids, Trapezius, Biceps"
45,Dumbbell Fix Dumbbell Mountain Climber,The Dumbbell Mountain Climber is a dynamic exercise that combines strength and cardio. It engages multiple muscle groups while improving endurance and stability.,Cardio,Full Body,Dumbbell,Intermediate,,,"Core, Shoulders, Legs"
46,Dumbbell Fix Dumbbell Russian Twist,"The Dumbbell Russian Twist is a core exercise that targets the obliques and the rectus abdominis. It involves sitting on the ground, leaning back slightly, and twisting the torso while holding a dumbbell.",Strength,Abdominals,Dumbbell,Intermediate,,,"Obliques, Rectus Abdominis"
47,Dumbbell Fix Dumbbell Pull-Over,"The Dumbbell Pull-Over is an effective exercise for targeting the chest and back muscles. It involves lying on a bench and lifting a dumbbell over your head, engaging multiple muscle groups.",Strength,Chest,Dumbbell,Intermediate,,,"Pectorals, Triceps, Lats"
48,Dumbbell Fix Dumbbell Sit-Up,"The Dumbbell Sit-Up is an effective exercise for strengthening the core muscles. By adding a dumbbell, you increase the resistance, making the exercise more challenging.",Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques, Hip Flexors"
49,Dumbbell Fix Dumbbell Front Squat,"The Dumbbell Front Squat is a lower body exercise that targets the quadriceps, hamstrings, and glutes. It involves holding a dumbbell in front of your chest while performing a squat, which helps improve strength and stability.",Strength,Legs,Dumbbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes"
50,Dumbbell Fix Full Man Maker,"The Dumbbell Fix Full Man Maker is a comprehensive full-body exercise that combines multiple movements to enhance strength and endurance. It typically involves a push-up, a row, a squat, and a press, making it an effective workout for overall fitness.",Strength,Full Body,Dumbbell,Intermediate,,,"Chest, Shoulders, Arms, Legs, Abdominals"
51,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Shoulders,Dumbbell,Intermediate,,,"Obliques, Shoulders, Upper Back"
52,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Chest,Dumbbell,Intermediate,,,"Pectorals, Triceps, Core"
53,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Full Body,Dumbbell,Intermediate,,,"Legs, Glutes, Biceps, Shoulders, Triceps"
54,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques"
55,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques, Deep Core Muscles"
56,HM Alternating Dumbbell Plank Row,"The HM Alternating Dumbbell Plank Row is an effective exercise that targets the upper back and core. It involves holding a plank position while rowing a dumbbell with one arm at a time, engaging multiple muscle groups for stability and strength.",Strength,Back,Dumbbell,Intermediate,,,"Lats, Rhomboids, Trapezius, Biceps"
57,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Legs,Dumbbell,Intermediate,,,"Glutes,Hamstrings"
58,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques"
59,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Cardio,Abdominals,Dumbbell,Intermediate,,,"Abdominals, Shoulders"
60,30 Hanging Leg Raise With Dumbbell,The hanging leg raise with a dumbbell is an effective exercise for targeting the abdominal muscles. It involves hanging from a bar and raising your legs while holding a dumbbell between your feet.,Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Hip Flexors"
61,Dumbbell Get-Up Sit-Up,The Dumbbell Get-Up Sit-Up is a dynamic exercise that combines a sit-up with a standing movement using a dumbbell. It targets the core while also engaging the legs and improving overall stability and strength.,Strength,Abdominals,Dumbbell,Expert,,,"Rectus Abdominis, Obliques, Hip Flexors"
62,Holman Right Side Plank with Left Triceps Press,The Holman Right Side Plank with Left Triceps Press is an effective exercise for strengthening the core and upper body. It targets the obliques while also engaging the triceps and shoulders for a comprehensive workout.,Strength,Abdominals,Dumbbell,Intermediate,,,"Obliques, Triceps, Shoulders"
63,Holman Left Side Plank with Right Triceps Press,"The Holman Left Side Plank with Right Triceps Press is a challenging exercise that targets the obliques and triceps while engaging the core. It combines stability and strength training, making it effective for building overall body strength.",Strength,Abdominals,Dumbbell,Intermediate,,,"Obliques, Triceps, Core"
64,Holman Boat with Feet Push-Out and Overhead Press,The Holman Boat with Feet Push-Out and Overhead Press is a compound exercise that engages multiple muscle groups. It combines a boat position with a push-out of the feet and an overhead press to build strength and stability.,Strength,Full Body,Dumbbell,Intermediate,,,"Shoulders, Arms, Chest, Abdominals, Legs"
65,Holman Hovering Plank Row,The Holman Hovering Plank Row is a challenging exercise that combines a plank position with a rowing motion. It targets the core while also engaging the upper body muscles for stability and strength.,Strength,Abdominals,Dumbbell,Intermediate,,,"Abdominals, Back, Shoulders, Arms"
66,Holman Weighted Seated Killer Abs to Russian Twist,The Holman Weighted Seated Killer Abs to Russian Twist is an effective exercise for building core strength and stability. It combines seated weighted movements with rotational twists to engage multiple abdominal muscles.,Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques, Transverse Abdominis"
67,Holman Straight Plank Dumbbell Reach-Under,The Holman Straight Plank Dumbbell Reach-Under is an effective core strengthening exercise. It engages the abdominal muscles while also working the shoulders and improving stability.,Strength,Abdominals,Dumbbell,Intermediate,,,"Core, Shoulders"
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,"The Holman Straight-Arm Side Plank Overhead Press to Chest Press is a compound exercise that engages multiple muscle groups. It targets the shoulders, chest, and core while improving stability and strength.",Strength,Full Body,Dumbbell,Intermediate,,,"Shoulders, Chest, Core"
69,Holman Weighted Burpee to Pike,"The Holman Weighted Burpee to Pike is a high-intensity exercise that combines a burpee with a pike position. It engages multiple muscle groups, providing a full-body workout that improves cardiovascular fitness and strength.",Cardio,Full Body,Dumbbell,Intermediate,,,"Legs, Arms, Core"
70,Holman Straight-Legged Boat Chest Press,"The Holman Straight-Legged Boat Chest Press is an exercise designed to strengthen the chest and arms. It involves lying on your back while pressing weights upward, engaging the core for stability.",Strength,Chest,Dumbbell,Intermediate,,,"Pectorals, Triceps, Shoulders"
71,Holman Weighted Burpee to Side Delt Raise,"The Holman Weighted Burpee to Side Delt Raise is a full-body exercise that combines a burpee with a side delt raise to target multiple muscle groups. This dynamic movement enhances strength, coordination, and endurance.",Strength,Full Body,Dumbbell,Intermediate,,,"Legs, Shoulders, Arms, Chest, Back"
72,Holman Heavy Double Pike,"The Holman Heavy Double Pike is a dynamic exercise that focuses on improving flexibility and mobility throughout the entire body. It engages multiple muscle groups, promoting overall strength and coordination.",Mobility,Full Body,Dumbbell,Intermediate,,,"Core, Shoulders, Legs"
73,Holman Heavy Double Split Pike,The Holman Heavy Double Split Pike is a dynamic exercise that enhances flexibility and mobility throughout the entire body. It focuses on engaging the core while promoting shoulder and leg strength.,Mobility,Full Body,Dumbbell,Intermediate,,,"Core, Shoulders, Legs"
74,MetaBurn Alternating Dumbbell Sit-Through,The MetaBurn Alternating Dumbbell Sit-Through is a dynamic exercise that enhances core stability and mobility. It involves alternating movements that engage the abdominal muscles while promoting flexibility and coordination.,Mobility,Abdominals,Dumbbell,Intermediate,,,"Obliques, Rectus Abdominis, Hip Flexors"
75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,The MetaBurn Alternating Plank Row with Dumbbell Pull-Through is a full-body exercise that combines core stability with upper body strength. It engages multiple muscle groups while improving balance and coordination.,Strength,Full Body,Dumbbell,Intermediate,,,"Core, Back, Shoulders, Arms"
76,MetaBurn Alternating Plank Row With Push-Up,"The MetaBurn Alternating Plank Row With Push-Up is a full-body exercise that combines a plank row with a push-up. This movement targets multiple muscle groups, enhancing strength and stability.",Strength,Full Body,Dumbbell,Intermediate,,,"Core, Shoulders, Back, Arms"
77,MetaBurn Dumbbell Russian Twist,"The MetaBurn Dumbbell Russian Twist is an effective core exercise that targets the obliques and rectus abdominis. It involves rotating the torso while holding a dumbbell, enhancing both strength and stability in the abdominal region.",Strength,Abdominals,Dumbbell,Intermediate,,,"Obliques, Rectus Abdominis"
78,MetaBurn Dumbbell Toe-Touch,The MetaBurn Dumbbell Toe-Touch is a mobility exercise that focuses on stretching the hamstrings and lower back. It involves bending at the hips to reach for your toes while holding a dumbbell for added resistance.,Mobility,Legs,Dumbbell,Intermediate,,,"Hamstrings, Lower Back"
79,MetaBurn Plank To Alternating Row,The MetaBurn Plank To Alternating Row is a dynamic exercise that engages multiple muscle groups. It combines a plank position with alternating rows to enhance core stability and upper body strength.,Strength,Full Body,Dumbbell,Intermediate,,,"Core, Back, Shoulders, Arms"
80,Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Deltoids"
81,MetaBurn Plank With Dumbbell Rotation,The MetaBurn Plank With Dumbbell Rotation is an effective exercise for building core strength and stability. It engages the abdominal muscles while also working the shoulders and obliques through the rotation.,Strength,Abdominals,Dumbbell,Intermediate,,,"Core, Obliques, Shoulders"
82,FYR2 Dumbbell Crab Reach,The FYR2 Dumbbell Crab Reach is a dynamic mobility exercise that improves flexibility and stability. It engages multiple muscle groups while promoting coordination and balance.,Mobility,Full Body,Dumbbell,Intermediate,,,"Shoulders, Core, Legs"
83,FYR2 Dumbbell Man-Maker,"The FYR2 Dumbbell Man-Maker is a full-body exercise that combines a push-up, a row, and a squat to enhance strength and endurance. It effectively targets multiple muscle groups, making it a great addition to any strength training routine.",Strength,Full Body,Dumbbell,Intermediate,,,"Chest, Shoulders, Arms, Legs, Abdominals"
84,FYR2 Dumbbell Sit-Up Reach,"The FYR2 Dumbbell Sit-Up Reach is an exercise that targets the core muscles, primarily the abdominals. It involves performing a sit-up while reaching for a dumbbell, enhancing both strength and stability.",Strength,Abdominals,Dumbbell,Intermediate,,,"Rectus Abdominis, Obliques"
85,FYR2 Loaded Beast Sprawl,The FYR2 Loaded Beast Sprawl is a dynamic movement that engages multiple muscle groups. It enhances flexibility and mobility while also building strength and coordination.,Mobility,Full Body,Dumbbell,Intermediate,,,"Shoulders, Legs, Core"
86,FYR2 Loaded to Unloaded Beast,The FYR2 Loaded to Unloaded Beast is a dynamic movement that enhances mobility and stability throughout the body. It involves transitioning between loaded and unloaded positions to engage multiple muscle groups effectively.,Mobility,Full Body,Dumbbell,Intermediate,,,"Core, Shoulders, Legs"
87,Lying Leg Pullover,The Lying Leg Pullover is an exercise that primarily targets the chest and back muscles. It involves lying on a bench and pulling a weight from behind the head to above the chest while engaging the core.,Strength,Chest,Dumbbell,Intermediate,,,"Pectorals, Latissimus Dorsi, Triceps"
88,Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Strength,Abdominals,Other,Intermediate,9.5,Average,"Obliques, Transversus Abdominis"
89,Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Strength,Abdominals,Other,Intermediate,9.3,Average,"Rectus abdominis, Transverse abdominis, Obliques"
90,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Other,Intermediate,9.2,Average,"Rectus Abdominis, Transverse Abdominis"
91,Plate Twist,The Plate Twist is a core exercise that enhances rotational strength and stability. It primarily targets the obliques while also engaging the rectus abdominis.,Mobility,Abdominals,Other,Beginner,9.0,Average,"Obliques, Rectus Abdominis"
92,Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Other,Intermediate,8.9,Average,"Rectus Abdominis, Obliques"
93,Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Strength,Abdominals,Other,Intermediate,8.9,Average,"Rectus Abdominis, Obliques"
